monthEndDate,adjClose
2018-01-31,16.39
2018-02-27,15.94
2018-03-30,16.04
2018-04-30,15.49
2018-05-31,15.63
2018-06-29,15.77
2018-07-31,16.70
2018-08-31,16.97
2018-09-28,16.96
2018-10-31,15.14
2018-11-30,14.98
2018-12-28,14.74
2019-01-30,14.96
2019-02-27,15.63
2019-03-29,15.93
2019-04-30,16.66
2019-05-31,15.79
2019-06-28,16.28
2019-07-31,16.81
2019-08-30,16.61
2019-09-27,17.17
2019-10-31,18.29
2019-11-29,18.57
2019-12-31,19.68
2020-01-31,18.85
2020-02-27,18.58
2020-03-31,15.96
2020-04-30,17.92
2020-05-29,17.70
2020-06-30,18.84
2020-07-31,21.91
2020-08-31,21.49
2020-09-30,21.74
2020-10-30,21.74
2020-11-30,23.92
2020-12-31,25.80
2021-01-29,27.65
2021-02-26,28.77
2021-03-31,29.06
2021-04-29,30.32
2021-05-31,29.57
2021-06-30,29.97
2021-07-30,29.42
2021-08-31,30.35
2021-09-30,29.63
2021-10-29,29.36
2021-11-30,29.84
2021-12-30,31.46
2022-01-26,31.28
2022-02-25,30.61
2022-03-31,30.52
2022-04-29,28.45
2022-05-31,28.68
2022-06-30,25.59
2022-07-29,26.49
2022-08-31,26.45
2022-09-30,23.27
2022-10-31,22.28
2022-11-30,26.17
2022-12-30,24.79
2023-01-31,27.21
2023-02-24,27.32
2023-03-31,27.97
2023-04-28,27.00
2023-05-31,29.01
2023-06-30,29.69
2023-07-31,30.05
2023-08-31,29.33
2023-09-28,28.62
2023-10-31,28.27
2023-11-30,30.65
2023-12-29,31.61
2024-01-31,32.08
2024-02-29,34.22
2024-03-29,37.68
2024-04-30,37.79
2024-05-31,39.64
2024-06-28,44.52
2024-07-31,43.40
2024-08-30,43.52
2024-09-30,44.15
2024-10-30,46.03
2024-11-29,44.94
2024-12-31,46.98
2025-01-22,48.98
2025-02-27,46.84
2025-03-31,42.03
2025-04-30,41.02
2025-05-29,43.74
2025-06-30,47.07
2025-07-31,50.53
2025-08-29,51.46
2025-09-30,56.65
2025-10-31,63.46
2025-11-28,61.11
2025-12-31,64.30
2026-01-30,72.16
2026-02-26,80.66
2026-03-31,71.91
2026-04-30,89.95
2026-05-29,104.76
2026-06-29,103.82
