date,open,high,low,close,adjClose,volume
2026-06-29,247.90,250.70,247.55,250.20,245.38,"2,794,918"
2026-06-28,240.00,244.60,239.85,242.75,238.07,"3,855,791"
2026-06-25,244.40,245.00,238.10,238.70,234.10,"8,276,870"
2026-06-24,250.00,250.00,246.30,248.10,243.32,"2,503,519"
2026-06-23,249.65,249.65,245.90,247.95,243.17,"4,150,955"
2026-06-22,258.10,260.10,254.35,254.35,249.45,"4,191,761"
2026-06-21,253.00,258.20,253.00,257.45,252.49,"4,367,796"
2026-06-17,247.95,249.10,246.95,249.10,244.30,"3,689,787"
2026-06-16,243.35,246.30,242.15,246.30,241.56,"4,494,170"
2026-06-15,245.00,245.75,243.45,245.35,240.62,"2,894,182"
2026-06-14,243.70,244.35,241.55,244.10,239.40,"6,291,888"
2026-06-11,238.60,238.95,235.60,236.10,231.55,"2,461,497"
2026-06-10,231.00,232.95,226.45,231.00,226.55,"5,508,026"
2026-06-09,237.10,237.80,232.00,232.05,227.58,"4,446,272"
2026-06-08,236.60,239.75,234.70,239.55,234.94,"2,294,907"
2026-06-07,228.50,234.75,227.35,233.85,229.35,"8,424,358"
2026-06-04,243.40,243.50,238.10,241.05,236.41,"4,052,880"
2026-06-03,247.15,248.00,245.80,245.95,241.21,"3,786,744"
2026-06-02,248.50,249.85,248.05,248.80,244.01,"2,729,785"
2026-06-01,244.80,245.65,241.45,244.55,239.84,"2,673,499"
2026-05-31,241.50,247.00,241.50,243.90,239.20,"4,391,651"
2026-05-28,238.75,241.40,237.95,241.25,236.60,"3,842,676"
2026-05-27,239.90,241.25,231.90,233.15,228.66,"4,367,073"
2026-05-26,237.75,240.20,236.05,237.60,233.02,"4,274,592"
2026-05-25,235.00,235.45,232.50,232.55,228.07,"2,109,425"
2026-05-24,230.25,234.00,230.15,233.15,228.66,"6,807,219"
2026-05-21,222.80,225.05,222.05,225.05,220.72,"2,958,555"
2026-05-20,218.95,222.00,218.95,221.55,217.28,"2,125,491"
2026-05-19,215.40,216.40,213.80,214.10,209.98,"4,608,127"
2026-05-18,218.90,219.15,215.60,215.65,211.50,"3,274,640"
2026-05-17,218.20,220.00,216.10,219.40,215.17,"6,799,735"
2026-05-14,227.55,228.00,220.40,220.40,216.15,"4,805,122"
2026-05-13,224.05,225.20,221.65,222.50,218.21,"5,812,864"
2026-05-12,219.80,221.85,219.00,221.20,216.94,"6,615,399"
2026-05-11,224.50,225.40,221.30,224.55,220.22,"5,949,947"
2026-05-10,223.85,224.75,223.15,224.45,220.13,"3,623,773"
2026-05-07,225.35,226.20,222.20,224.30,219.98,"5,337,650"
2026-05-06,225.80,227.80,225.50,226.80,222.43,"5,127,624"
2026-05-05,222.40,224.10,219.80,222.00,217.72,"8,240,913"
2026-05-04,219.10,219.60,217.70,219.60,215.37,"3,765,082"
2026-05-03,214.25,219.20,214.00,219.20,214.98,"6,329,450"
2026-04-29,212.40,212.80,209.45,209.75,205.71,"3,693,668"
2026-04-28,210.65,212.20,208.50,210.45,206.40,"4,036,240"
2026-04-27,214.70,216.50,213.05,213.15,209.04,"5,443,232"
2026-04-26,214.90,218.00,214.85,215.45,211.30,"9,536,860"
2026-04-23,203.00,208.95,202.90,208.95,204.93,"6,974,842"
2026-04-22,203.05,206.00,197.50,200.10,196.25,"5,314,321"
2026-04-21,199.00,200.55,198.85,199.95,196.10,"3,443,794"
2026-04-20,198.00,199.70,197.00,199.55,195.71,"3,526,217"
