date,open,high,low,close,adjClose,volume
2026-07-24,410.50,444.50,400.00,402.00,402.00,"1,774,325"
2026-07-23,422.00,445.00,413.50,416.00,416.00,"1,283,135"
2026-07-22,419.50,440.50,417.00,419.00,419.00,"1,076,248"
2026-07-21,382.00,403.50,379.00,403.50,403.50,"771,031"
2026-07-20,380.00,381.00,337.50,367.00,367.00,"862,700"
2026-07-17,410.50,410.50,375.00,375.00,375.00,"727,915"
2026-07-16,422.50,422.50,406.00,416.50,416.50,"375,070"
2026-07-15,413.00,428.00,407.00,424.50,424.50,"565,099"
2026-07-14,428.00,439.00,385.50,398.00,398.00,"1,288,137"
2026-07-13,426.00,443.00,416.00,428.00,428.00,"986,251"
2026-07-10,421.00,421.00,421.00,421.00,421.00,"-"
2026-07-09,442.00,443.00,420.50,421.00,421.00,"638,625"
2026-07-08,439.50,459.00,425.50,437.50,437.50,"1,082,905"
2026-07-07,480.00,505.00,433.50,443.50,443.50,"1,116,252"
2026-07-06,508.00,508.00,467.50,473.00,473.00,"666,468"
2026-07-03,472.00,507.00,467.00,498.00,498.00,"1,216,493"
2026-07-02,465.00,480.00,456.50,480.00,480.00,"463,192"
2026-07-01,494.50,494.50,471.00,472.50,472.50,"738,415"
2026-06-30,491.50,494.50,481.50,491.00,491.00,"581,905"
2026-06-29,477.50,487.00,467.50,474.00,474.00,"765,322"
2026-06-26,514.00,524.00,476.50,476.50,476.50,"1,267,054"
2026-06-25,542.00,545.00,512.00,518.00,518.00,"677,174"
2026-06-24,531.00,541.00,516.00,526.00,526.00,"763,079"
2026-06-23,581.00,595.00,539.00,540.00,540.00,"1,268,349"
2026-06-22,605.00,610.00,565.00,571.00,571.00,"1,589,298"
2026-06-18,528.00,578.00,516.00,578.00,578.00,"1,402,015"
2026-06-17,531.00,548.00,520.00,526.00,526.00,"942,129"
2026-06-16,564.00,590.00,546.00,547.00,547.00,"1,548,395"
2026-06-15,559.00,565.00,536.00,551.00,551.00,"718,950"
2026-06-12,555.00,555.00,521.00,538.00,538.00,"969,490"
2026-06-11,541.00,551.00,494.00,518.00,518.00,"1,854,084"
2026-06-10,593.00,594.00,547.00,547.00,547.00,"2,112,990"
2026-06-09,613.00,628.00,584.00,607.00,607.00,"1,490,145"
2026-06-08,603.00,621.00,603.00,603.00,603.00,"1,121,088"
2026-06-05,680.00,703.00,640.00,670.00,670.00,"1,475,322"
2026-06-04,688.00,704.00,665.00,676.00,676.00,"1,084,397"
2026-06-03,741.00,776.00,715.00,716.00,716.00,"1,753,728"
2026-06-02,815.00,833.00,711.00,711.00,711.00,"3,176,507"
2026-06-01,749.00,789.00,749.00,789.00,789.00,"339,391"
2026-05-29,738.00,750.00,715.00,750.00,750.00,"220,166"
2026-05-28,740.00,740.00,695.00,711.00,711.00,"275,176"
2026-05-27,779.00,782.00,699.00,744.00,744.00,"257,213"
