date,open,high,low,close,adjClose,volume
2026-07-22,327.88,329.00,323.34,325.89,325.89,"38,603,904"
2026-07-21,323.13,329.60,322.22,327.74,327.74,"41,338,900"
2026-07-20,333.51,333.71,323.68,326.59,326.59,"53,468,000"
2026-07-17,331.98,334.99,329.00,333.74,333.74,"63,407,100"
2026-07-16,328.01,334.68,326.79,333.26,333.26,"62,970,600"
2026-07-15,317.62,328.73,317.32,327.50,327.50,"60,957,600"
2026-07-14,313.76,316.19,311.91,314.86,314.86,"36,336,800"
2026-07-13,317.02,323.45,315.78,317.31,317.31,"43,257,800"
2026-07-10,314.72,316.91,312.17,315.32,315.32,"34,132,300"
2026-07-09,310.51,316.53,308.16,316.22,316.22,"48,124,500"
2026-07-08,311.91,314.82,307.05,313.39,313.39,"41,323,500"
2026-07-07,315.29,315.48,310.15,310.66,310.66,"42,490,000"
2026-07-06,307.36,314.20,307.00,312.66,312.66,"53,590,000"
2026-07-02,294.12,309.42,293.68,308.63,308.63,"75,352,800"
2026-07-01,293.44,296.59,289.20,294.38,294.38,"50,164,200"
2026-06-30,281.17,289.94,280.70,289.36,289.36,"65,100,200"
2026-06-29,286.73,288.37,279.85,281.74,281.74,"66,427,000"
2026-06-26,275.00,285.95,274.21,283.78,283.78,"261,775,500"
2026-06-25,287.40,288.80,273.75,275.15,275.15,"107,013,700"
2026-06-24,295.36,299.70,292.94,293.08,293.08,"53,081,900"
2026-06-23,297.54,301.64,294.18,294.30,294.30,"52,010,900"
2026-06-22,297.31,302.42,296.76,297.01,297.01,"44,879,900"
2026-06-18,298.11,300.57,295.62,298.01,298.01,"85,962,200"
2026-06-17,300.85,302.07,294.36,295.95,295.95,"42,745,100"
2026-06-16,295.25,300.48,293.97,299.24,299.24,"39,874,400"
2026-06-15,294.12,297.78,291.70,296.42,296.42,"45,732,600"
2026-06-12,296.03,297.14,289.62,291.13,291.13,"38,742,100"
2026-06-11,293.72,297.00,289.59,295.63,295.63,"42,572,500"
2026-06-10,290.74,294.75,287.38,291.58,291.58,"52,793,300"
2026-06-09,300.28,300.75,287.78,290.55,290.55,"70,108,800"
2026-06-08,308.74,317.40,301.17,301.54,301.54,"77,949,100"
2026-06-05,312.86,315.17,307.15,307.34,307.34,"65,310,500"
2026-06-04,313.23,313.54,309.65,311.23,311.23,"44,869,100"
2026-06-03,314.18,316.94,308.85,310.26,310.26,"50,836,700"
2026-06-02,307.46,315.45,306.69,315.20,315.20,"44,534,700"
2026-06-01,309.63,310.94,305.02,306.31,306.31,"48,849,900"
2026-05-29,311.78,315.00,309.53,312.06,312.06,"70,026,800"
2026-05-28,310.68,312.80,309.57,312.51,312.51,"48,220,400"
2026-05-27,308.33,313.26,308.30,310.85,310.85,"50,430,900"
2026-05-26,309.56,311.82,307.67,308.33,308.33,"48,000,500"
2026-05-22,306.12,311.40,305.84,308.82,308.82,"43,670,200"
2026-05-21,301.06,305.54,300.40,304.99,304.99,"42,965,100"
2026-05-20,298.18,302.80,298.08,302.25,302.25,"38,229,800"
2026-05-19,296.97,300.51,296.35,298.97,298.97,"42,243,600"
2026-05-18,300.24,300.66,294.91,297.84,297.84,"34,483,000"
