monthEndDate,adjClose
2018-01-31,39.14
2018-02-28,41.81
2018-03-29,39.38
2018-04-30,38.79
2018-05-31,44.03
2018-06-29,43.61
2018-07-31,44.84
2018-08-31,53.82
2018-09-28,53.37
2018-10-31,51.75
2018-11-30,42.37
2018-12-31,37.43
2019-01-31,39.49
2019-02-28,41.26
2019-03-29,45.26
2019-04-30,47.82
2019-05-31,41.88
2019-06-28,47.34
2019-07-31,50.96
2019-08-30,50.12
2019-09-30,53.78
2019-10-31,59.73
2019-11-29,64.36
2019-12-31,70.72
2020-01-31,74.54
2020-02-28,65.99
2020-03-31,61.39
2020-04-30,70.92
2020-05-29,76.96
2020-06-30,88.30
2020-07-31,102.88
2020-08-31,125.17
2020-09-30,112.33
2020-10-30,105.59
2020-11-30,115.67
2020-12-31,128.93
2021-01-29,128.22
2021-02-26,118.00
2021-03-31,118.86
2021-04-30,127.92
2021-05-28,121.46
2021-06-30,133.50
2021-07-30,142.18
2021-08-31,148.22
2021-09-30,138.13
2021-10-29,146.24
2021-11-30,161.60
2021-12-31,173.60
2022-01-31,170.87
2022-02-28,161.63
2022-03-31,170.92
2022-04-29,154.32
2022-05-31,145.91
2022-06-30,134.03
2022-07-29,159.31
2022-08-31,154.34
2022-09-30,135.67
2022-10-31,150.53
2022-11-30,145.56
2022-12-30,127.76
2023-01-31,141.88
2023-02-28,145.17
2023-03-31,162.40
2023-04-28,167.10
2023-05-31,174.80
2023-06-30,191.29
2023-07-31,193.73
2023-08-31,185.52
2023-09-29,169.07
2023-10-31,168.64
2023-11-30,187.82
2023-12-29,190.38
2024-01-31,182.34
2024-02-29,178.95
2024-03-28,169.78
2024-04-30,168.64
2024-05-31,190.60
2024-06-28,208.81
2024-07-31,220.17
2024-08-30,227.30
2024-09-30,231.27
2024-10-31,224.23
2024-11-29,235.82
2024-12-31,248.83
2025-01-31,234.50
2025-02-28,240.57
2025-03-31,220.96
2025-04-30,211.38
2025-05-30,200.06
2025-06-30,204.36
2025-07-31,206.75
2025-08-29,231.49
2025-09-30,253.91
2025-10-31,269.61
2025-11-28,278.33
2025-12-31,271.36
2026-01-30,259.00
2026-02-27,263.94
2026-03-31,253.56
2026-04-30,271.10
2026-05-29,312.06
2026-06-30,289.36
2026-07-22,325.89
