date,open,high,low,close,adjClose,volume
2026-07-21,205.56,210.60,202.84,207.96,207.96,"22,048,600"
2026-07-20,193.01,202.08,191.99,194.94,194.94,"25,070,600"
2026-07-17,182.23,194.05,177.95,188.68,188.68,"29,656,300"
2026-07-16,200.12,201.94,186.15,188.30,188.30,"34,893,000"
2026-07-15,222.16,223.30,201.22,206.26,206.26,"26,827,600"
2026-07-14,231.57,232.00,218.63,222.44,222.44,"20,705,500"
2026-07-13,228.78,228.80,215.28,217.53,217.53,"25,615,300"
2026-07-10,237.79,240.94,232.02,235.81,235.81,"15,106,000"
2026-07-09,246.18,251.70,241.10,243.27,243.21,"21,245,300"
2026-07-08,225.16,236.79,224.98,231.71,231.65,"25,541,800"
2026-07-07,234.92,237.44,222.94,230.70,230.64,"36,163,800"
2026-07-06,254.82,260.46,249.04,249.27,249.21,"25,703,100"
2026-07-02,269.50,274.95,237.20,245.29,245.23,"38,435,900"
2026-07-01,282.47,292.50,271.35,272.05,271.98,"33,822,700"
2026-06-30,278.75,300.00,275.50,297.89,297.82,"37,520,100"
2026-06-29,272.41,278.28,250.52,277.75,277.68,"31,749,200"
2026-06-26,268.37,274.20,262.00,266.77,266.70,"41,986,200"
2026-06-25,291.18,292.51,263.72,281.26,281.19,"39,131,600"
2026-06-24,281.95,281.95,263.66,276.70,276.63,"35,747,400"
2026-06-23,278.82,290.95,276.25,279.04,278.97,"46,361,100"
2026-06-22,313.39,314.17,298.18,307.86,307.78,"49,225,100"
2026-06-18,305.47,329.88,302.36,310.58,310.50,"250,989,400"
2026-06-17,292.89,307.37,283.32,289.54,289.47,"50,607,300"
2026-06-16,299.13,317.00,278.13,278.67,278.60,"59,201,300"
2026-06-15,296.71,312.98,288.09,308.88,308.80,"54,963,600"
2026-06-12,270.07,287.98,267.31,279.70,279.63,"42,047,300"
2026-06-11,260.54,282.32,258.43,280.71,280.64,"57,254,500"
2026-06-10,263.50,272.47,252.26,252.59,252.53,"54,175,100"
2026-06-09,299.76,302.40,244.00,266.88,266.81,"94,754,500"
2026-06-08,288.69,304.96,281.36,288.85,288.78,"84,575,500"
2026-06-05,299.50,300.72,261.39,263.47,263.41,"93,976,400"
2026-06-04,282.95,321.50,277.56,316.43,316.35,"86,903,500"
2026-06-03,317.63,324.20,294.01,301.65,301.58,"115,542,800"
2026-06-02,253.46,291.30,252.43,290.79,290.72,"112,646,200"
2026-06-01,198.91,225.14,195.12,219.43,219.38,"32,926,900"
2026-05-29,204.44,208.76,199.20,205.00,204.95,"34,024,700"
2026-05-28,198.75,207.40,194.70,204.83,204.78,"52,624,900"
2026-05-27,217.98,218.26,196.25,198.70,198.65,"54,198,500"
2026-05-26,211.24,217.45,200.04,208.26,208.21,"42,558,200"
2026-05-22,194.72,198.40,192.22,196.33,196.28,"19,823,200"
2026-05-21,192.51,194.58,188.20,190.69,190.64,"21,506,100"
2026-05-20,183.45,193.32,182.28,186.80,186.75,"29,808,100"
2026-05-19,164.61,181.64,162.85,176.27,176.23,"25,003,300"
2026-05-18,181.77,182.71,165.10,168.93,168.89,"24,439,000"
2026-05-15,173.90,182.14,173.34,176.89,176.85,"24,757,300"
