monthEndDate,adjClose
2018-01-31,22.17
2018-02-28,22.32
2018-03-29,20.01
2018-04-30,19.12
2018-05-31,20.53
2018-06-29,20.43
2018-07-31,20.37
2018-08-31,19.77
2018-09-28,18.45
2018-10-31,15.73
2018-11-30,15.45
2018-12-31,15.58
2019-01-31,17.84
2019-02-28,19.20
2019-03-29,19.15
2019-04-30,24.16
2019-05-31,21.53
2019-06-28,23.05
2019-07-31,25.41
2019-08-30,23.20
2019-09-30,24.17
2019-10-31,23.67
2019-11-29,25.59
2019-12-31,25.83
2020-01-31,23.38
2020-02-28,20.71
2020-03-31,22.01
2020-04-30,26.08
2020-05-29,31.81
2020-06-30,34.19
2020-07-31,35.62
2020-08-31,37.88
2020-09-30,38.78
2020-10-30,36.69
2020-11-30,45.28
2020-12-31,46.56
2021-01-29,50.40
2021-02-26,47.29
2021-03-31,47.97
2021-04-30,44.33
2021-05-28,47.36
2021-06-30,57.20
2021-07-30,59.40
2021-08-31,60.06
2021-09-30,59.20
2021-10-29,67.30
2021-11-30,69.93
2021-12-31,85.96
2022-01-31,70.20
2022-02-28,67.18
2022-03-31,70.51
2022-04-29,57.16
2022-05-31,58.21
2022-06-30,42.84
2022-07-29,54.87
2022-08-31,46.14
2022-09-30,42.29
2022-10-31,39.15
2022-11-30,45.90
2022-12-30,36.55
2023-01-31,42.65
2023-02-28,44.62
2023-03-31,42.79
2023-04-28,39.08
2023-05-31,57.89
2023-06-30,59.17
2023-07-31,64.53
2023-08-31,57.71
2023-09-29,53.63
2023-10-31,46.84
2023-11-30,55.28
2023-12-29,59.82
2024-01-31,67.22
2024-02-29,71.15
2024-03-28,70.38
2024-04-30,65.50
2024-05-31,68.38
2024-06-28,69.46
2024-07-31,66.62
2024-08-30,75.83
2024-09-30,71.73
2024-10-31,79.74
2024-11-29,92.27
2024-12-31,109.94
2025-01-31,112.40
2025-02-28,91.45
2025-03-31,61.32
2025-04-30,58.20
2025-05-30,60.01
2025-06-30,77.17
2025-07-31,80.20
2025-08-29,62.74
2025-09-30,83.89
2025-10-31,93.60
2025-11-28,89.27
2025-12-31,84.86
2026-01-30,78.86
2026-02-27,81.63
2026-03-31,98.98
2026-04-30,165.11
2026-05-29,204.95
2026-06-30,297.82
2026-07-21,207.96
