date,open,high,low,close,adjClose,volume
2026-07-21,207.54,208.65,204.01,207.29,207.29,"108,426,500"
2026-07-20,205.87,207.74,202.28,203.28,203.28,"88,701,500"
2026-07-17,202.64,206.65,197.97,202.81,202.81,"144,281,900"
2026-07-16,210.17,211.08,205.85,207.40,207.40,"122,986,100"
2026-07-15,211.96,213.81,206.04,212.50,212.50,"124,797,200"
2026-07-14,208.20,212.55,203.80,211.80,211.80,"124,379,600"
2026-07-13,208.54,210.57,203.00,203.53,203.53,"121,411,000"
2026-07-10,202.00,211.00,201.92,210.96,210.96,"148,421,000"
2026-07-09,204.46,204.59,198.96,202.78,202.78,"132,037,400"
2026-07-08,195.18,205.16,195.06,204.12,204.12,"147,419,100"
2026-07-07,192.37,198.41,191.14,196.93,196.93,"124,154,600"
2026-07-06,194.42,197.55,193.99,195.55,195.55,"108,999,000"
2026-07-02,197.14,200.06,192.35,194.83,194.83,"142,068,700"
2026-07-01,196.20,199.85,193.45,197.58,197.58,"146,147,600"
2026-06-30,197.24,200.63,195.11,200.09,200.09,"166,476,700"
2026-06-29,193.85,196.18,189.80,194.97,194.97,"148,835,700"
2026-06-26,193.12,195.55,191.22,192.53,192.53,"179,304,100"
2026-06-25,200.08,200.80,192.13,195.74,195.74,"149,550,000"
2026-06-24,200.12,201.67,196.58,199.00,199.00,"151,810,700"
2026-06-23,202.17,203.77,200.00,200.04,200.04,"153,496,200"
2026-06-22,211.44,213.99,207.72,208.65,208.65,"122,041,400"
2026-06-18,207.33,211.39,206.50,210.69,210.69,"241,272,000"
2026-06-17,208.53,209.21,203.08,204.65,204.65,"128,363,500"
2026-06-16,211.18,211.49,207.29,207.41,207.41,"125,694,100"
2026-06-15,208.92,212.71,208.34,212.45,212.45,"149,936,700"
2026-06-12,204.86,207.07,203.44,205.19,205.19,"112,001,800"
2026-06-11,201.49,205.66,199.54,204.87,204.87,"158,643,200"
2026-06-10,204.43,207.22,199.92,200.42,200.42,"161,746,600"
2026-06-09,210.62,211.40,199.34,208.19,208.19,"180,962,500"
2026-06-08,210.18,210.47,206.00,208.64,208.64,"138,372,800"
2026-06-05,214.53,214.87,204.33,205.10,205.10,"219,655,500"
2026-06-04,213.91,221.60,210.97,218.66,218.66,"169,022,200"
2026-06-03,221.72,222.82,214.51,214.75,214.50,"160,907,000"
2026-06-02,227.18,232.28,221.35,222.82,222.56,"193,362,900"
2026-06-01,215.73,224.87,215.70,224.36,224.10,"212,850,700"
2026-05-29,214.58,217.86,211.13,211.14,210.89,"289,410,600"
2026-05-28,211.28,215.52,211.22,214.25,214.00,"143,996,000"
2026-05-27,214.12,214.15,208.78,212.60,212.35,"167,601,200"
2026-05-26,216.54,218.18,212.00,214.86,214.61,"187,202,600"
2026-05-22,220.90,221.01,214.80,215.33,215.08,"169,275,700"
2026-05-21,222.29,227.40,217.93,219.51,219.25,"203,381,800"
2026-05-20,223.18,226.13,220.50,223.47,223.21,"184,201,600"
2026-05-19,219.62,224.48,217.91,220.61,220.35,"140,948,200"
2026-05-18,229.87,230.00,218.37,222.32,222.06,"146,280,900"
2026-05-15,229.76,231.50,224.24,225.32,225.06,"180,977,600"
2026-05-14,229.85,236.54,229.30,235.74,235.47,"180,782,900"
2026-05-13,224.93,227.84,221.57,225.83,225.57,"150,405,400"
2026-05-12,218.55,223.75,214.92,220.78,220.52,"159,176,600"
2026-05-11,214.04,222.30,213.89,219.44,219.18,"160,685,800"
2026-05-08,213.03,217.80,212.89,215.20,214.95,"136,421,400"
2026-05-07,208.34,214.20,206.50,211.50,211.25,"168,307,900"
2026-05-06,199.89,208.27,198.61,207.83,207.59,"188,362,800"
2026-05-05,199.30,200.24,196.03,196.50,196.27,"113,406,600"
2026-05-04,199.50,201.73,194.74,198.48,198.25,"125,368,100"
2026-05-01,201.28,203.00,197.12,198.45,198.22,"128,647,000"
2026-04-30,209.93,210.30,198.70,199.57,199.34,"225,239,200"
2026-04-29,212.70,212.72,207.58,209.25,209.01,"123,711,800"
2026-04-28,209.49,214.73,208.20,213.17,212.92,"180,275,400"
2026-04-27,209.65,216.83,207.38,216.61,216.36,"187,172,400"
2026-04-24,199.96,210.95,199.81,208.27,208.03,"214,134,400"
2026-04-23,202.46,203.83,197.22,199.64,199.41,"113,561,800"
2026-04-22,200.99,202.50,199.00,202.50,202.26,"107,501,000"
2026-04-21,202.13,202.75,199.00,199.88,199.65,"107,945,300"
2026-04-20,199.98,202.17,197.84,202.06,201.82,"119,381,400"
2026-04-17,199.90,201.70,199.27,201.68,201.45,"160,324,400"
2026-04-16,197.43,199.85,195.81,198.35,198.12,"134,012,900"
2026-04-15,196.54,200.40,195.74,198.87,198.64,"185,338,400"
2026-04-14,190.84,196.51,190.77,196.51,196.28,"161,307,000"
2026-04-13,186.03,189.66,185.74,189.31,189.09,"133,648,200"
2026-04-10,184.31,190.00,184.30,188.63,188.41,"160,459,500"
2026-04-09,181.84,184.08,180.62,183.91,183.70,"116,428,500"
2026-04-08,184.50,185.26,180.30,182.08,181.87,"147,732,700"
2026-04-07,175.73,178.23,173.66,178.10,177.89,"132,534,900"
2026-04-06,177.16,177.79,175.76,177.64,177.43,"107,564,300"
2026-04-02,172.18,177.49,171.37,177.39,177.18,"143,143,200"
2026-04-01,176.00,177.37,174.75,175.75,175.55,"168,132,000"
2026-03-31,166.97,174.62,166.96,174.40,174.20,"226,181,300"
2026-03-30,168.78,169.45,164.27,165.17,164.98,"185,627,000"
2026-03-27,170.00,170.97,167.01,167.52,167.32,"196,212,700"
2026-03-26,176.07,176.51,171.14,171.24,171.04,"186,152,200"
2026-03-25,177.10,181.22,176.85,178.68,178.47,"162,602,100"
2026-03-24,174.83,176.22,173.98,175.20,175.00,"147,667,800"
2026-03-23,177.26,178.37,174.76,175.64,175.44,"182,836,300"
2026-03-20,178.00,178.26,171.72,172.70,172.50,"241,323,500"
2026-03-19,178.01,179.98,175.79,178.56,178.35,"170,968,500"
2026-03-18,182.48,183.38,180.33,180.40,180.19,"156,683,100"
2026-03-17,185.06,185.40,181.68,181.93,181.72,"182,497,800"
2026-03-16,182.97,188.88,181.41,183.22,183.01,"217,307,400"
2026-03-13,184.92,186.09,179.94,180.25,180.04,"160,988,400"
2026-03-12,184.05,184.94,181.75,183.14,182.93,"155,762,700"
2026-03-11,185.91,187.62,184.45,186.03,185.81,"145,280,400"
2026-03-10,182.40,186.44,182.01,184.77,184.54,"179,118,500"
2026-03-09,176.83,182.91,175.56,182.65,182.43,"177,213,600"
2026-03-06,179.84,182.76,176.82,177.82,177.60,"189,021,900"
2026-03-05,181.17,184.06,177.88,183.34,183.12,"198,779,700"
2026-03-04,180.44,184.70,180.06,183.04,182.82,"177,731,200"
2026-03-03,178.49,180.90,176.92,180.05,179.83,"178,099,400"
2026-03-02,175.01,183.46,174.64,182.48,182.26,"209,095,300"
2026-02-27,181.25,182.59,176.38,177.19,176.97,"311,636,500"
2026-02-26,194.27,194.29,184.32,184.89,184.66,"360,807,900"
2026-02-25,194.45,197.63,193.79,195.56,195.32,"250,637,100"
2026-02-24,191.49,193.77,187.40,192.85,192.62,"175,123,600"
2026-02-23,191.40,193.95,189.58,191.55,191.32,"171,584,800"
2026-02-20,186.57,190.33,185.94,189.82,189.59,"178,422,300"
2026-02-19,187.06,188.43,185.66,187.90,187.67,"126,554,500"
2026-02-18,188.75,190.37,186.76,187.98,187.75,"164,749,100"
2026-02-17,181.75,187.15,179.18,184.97,184.74,"162,276,900"
2026-02-13,187.48,187.50,181.59,182.81,182.59,"161,888,000"
2026-02-12,193.03,193.61,186.51,186.94,186.71,"189,932,500"
2026-02-11,192.45,193.26,188.77,190.05,189.82,"144,192,700"
2026-02-10,191.38,192.48,188.12,188.54,188.31,"136,764,800"
2026-02-09,184.26,193.66,183.95,190.04,189.81,"196,387,400"
2026-02-06,176.69,187.00,174.60,185.41,185.18,"231,346,200"
2026-02-05,174.93,176.82,171.03,171.88,171.67,"206,312,900"
2026-02-04,179.46,179.58,171.91,174.19,173.98,"207,014,100"
2026-02-03,186.24,186.27,176.23,180.34,180.12,"204,019,600"
2026-02-02,187.20,190.30,184.88,185.61,185.38,"165,794,100"
2026-01-30,191.21,194.49,189.47,191.13,190.90,"179,489,500"
2026-01-29,191.34,193.48,186.06,192.51,192.28,"171,764,400"
2026-01-28,191.27,192.35,189.84,191.52,191.29,"148,552,700"
2026-01-27,187.24,190.00,185.70,188.52,188.29,"143,711,600"
2026-01-26,187.16,189.12,185.99,186.47,186.24,"124,799,600"
2026-01-23,187.50,189.60,186.82,187.67,187.44,"142,748,100"
2026-01-22,184.75,186.17,183.93,184.84,184.61,"139,636,600"
2026-01-21,179.05,185.38,178.40,183.32,183.10,"200,381,000"
2026-01-20,181.90,182.38,177.61,178.07,177.85,"223,345,300"
2026-01-16,189.08,190.44,186.08,186.23,186.00,"187,967,200"
2026-01-15,186.50,189.70,186.33,187.05,186.82,"206,188,600"
2026-01-14,184.32,184.46,180.80,183.14,182.92,"159,586,100"
2026-01-13,185.00,188.11,183.40,185.81,185.58,"160,128,900"
2026-01-12,183.22,187.12,183.02,184.94,184.71,"137,968,500"
2026-01-09,185.08,186.34,183.67,184.86,184.63,"131,327,500"
2026-01-08,189.11,189.55,183.71,185.04,184.81,"172,457,000"
2026-01-07,188.57,191.37,186.56,189.11,188.88,"153,543,200"
2026-01-06,190.52,192.17,186.82,187.24,187.01,"176,862,600"
2026-01-05,191.76,193.63,186.15,188.12,187.89,"183,529,700"
2026-01-02,189.84,192.93,188.26,188.85,188.62,"148,240,500"
2025-12-31,189.57,190.56,186.49,186.50,186.27,"120,100,500"
2025-12-30,188.24,188.99,186.93,187.54,187.31,"97,687,300"
2025-12-29,187.71,188.76,185.91,188.22,187.99,"120,006,100"
2025-12-26,189.92,192.69,188.00,190.53,190.30,"139,740,300"
2025-12-24,187.94,188.91,186.59,188.61,188.38,"65,528,500"
2025-12-23,182.97,189.33,182.90,189.21,188.98,"174,873,600"
2025-12-22,183.92,184.16,182.35,183.69,183.47,"129,064,400"
2025-12-19,176.67,181.45,176.34,180.99,180.77,"324,925,900"
2025-12-18,174.53,176.15,171.82,174.14,173.93,"176,096,000"
2025-12-17,176.10,176.13,170.31,170.94,170.73,"222,775,500"
2025-12-16,176.26,178.49,174.90,177.72,177.50,"148,588,100"
2025-12-15,177.94,178.42,175.03,176.29,176.08,"164,775,600"
2025-12-12,181.11,182.82,174.62,175.02,174.81,"204,274,900"
2025-12-11,180.28,181.32,176.62,180.93,180.71,"182,136,600"
2025-12-10,184.97,185.48,182.04,183.78,183.56,"162,785,400"
2025-12-09,185.56,185.72,183.32,184.97,184.74,"144,719,700"
2025-12-08,182.64,188.00,182.40,185.55,185.32,"204,378,100"
2025-12-05,183.89,184.66,180.91,182.41,182.19,"143,971,100"
2025-12-04,181.62,184.52,179.96,183.38,183.16,"167,364,900"
2025-12-03,181.08,182.45,179.11,179.59,179.36,"165,138,000"
2025-12-02,181.76,185.66,180.00,181.46,181.23,"182,632,200"
2025-12-01,174.76,180.30,173.68,179.92,179.69,"188,131,000"
2025-11-28,179.01,179.29,176.50,177.00,176.77,"121,332,800"
2025-11-26,181.63,182.91,178.24,180.26,180.03,"183,852,000"
2025-11-25,174.91,178.16,169.55,177.82,177.59,"320,600,300"
2025-11-24,179.49,183.50,176.48,182.55,182.32,"256,618,300"
