monthEndDate,adjClose
2018-01-31,6.07
2018-02-28,5.98
2018-03-29,5.72
2018-04-30,5.56
2018-05-31,6.24
2018-06-29,5.86
2018-07-31,6.05
2018-08-31,6.94
2018-09-28,6.95
2018-10-31,5.22
2018-11-30,4.05
2018-12-31,3.31
2019-01-31,3.56
2019-02-28,3.82
2019-03-29,4.45
2019-04-30,4.49
2019-05-31,3.36
2019-06-28,4.08
2019-07-31,4.19
2019-08-30,4.16
2019-09-30,4.32
2019-10-31,4.99
2019-11-29,5.39
2019-12-31,5.85
2020-01-31,5.88
2020-02-28,6.72
2020-03-31,6.56
2020-04-30,7.27
2020-05-29,8.83
2020-06-30,9.45
2020-07-31,10.57
2020-08-31,13.31
2020-09-30,13.47
2020-10-30,12.48
2020-11-30,13.34
2020-12-31,13.00
2021-01-29,12.94
2021-02-26,13.66
2021-03-31,13.30
2021-04-30,14.95
2021-05-28,16.18
2021-06-30,19.93
2021-07-30,19.43
2021-08-31,22.31
2021-09-30,20.65
2021-10-29,25.48
2021-11-30,32.57
2021-12-31,29.32
2022-01-31,24.41
2022-02-28,24.31
2022-03-31,27.20
2022-04-29,18.49
2022-05-31,18.62
2022-06-30,15.12
2022-07-29,18.11
2022-08-31,15.05
2022-09-30,12.11
2022-10-31,13.46
2022-11-30,16.89
2022-12-30,14.58
2023-01-31,19.49
2023-02-28,23.16
2023-03-31,27.72
2023-04-28,27.69
2023-05-31,37.76
2023-06-30,42.22
2023-07-31,46.64
2023-08-31,49.26
2023-09-29,43.42
2023-10-31,40.70
2023-11-30,46.68
2023-12-29,49.43
2024-01-31,61.42
2024-02-29,78.97
2024-03-28,90.20
2024-04-30,86.25
2024-05-31,109.44
2024-06-28,123.34
2024-07-31,116.83
2024-08-30,119.17
2024-09-30,121.25
2024-10-31,132.55
2024-11-29,138.03
2024-12-31,134.09
2025-01-31,119.89
2025-02-28,124.73
2025-03-31,108.23
2025-04-30,108.77
2025-05-30,134.94
2025-06-30,157.78
2025-07-31,177.63
2025-08-29,173.95
2025-09-30,186.34
2025-10-31,202.23
2025-11-28,176.77
2025-12-31,186.27
2026-01-30,190.90
2026-02-27,176.97
2026-03-31,174.20
2026-04-30,199.34
2026-05-29,210.89
2026-06-30,200.09
2026-07-21,207.29
