date,open,high,low,close,adjClose,volume
2026-07-21,418.74,425.40,413.56,424.61,424.61,"18,173,100"
2026-07-20,407.71,409.89,400.08,402.30,402.30,"11,653,600"
2026-07-17,392.12,404.70,386.02,398.37,398.37,"20,986,500"
2026-07-16,405.29,415.95,403.50,409.74,409.74,"24,891,300"
2026-07-15,425.75,428.89,410.75,419.48,419.48,"17,012,300"
2026-07-14,430.87,431.06,418.86,420.39,420.39,"14,279,000"
2026-07-13,433.82,437.99,420.29,421.58,421.58,"14,329,800"
2026-07-10,438.67,439.66,428.10,434.11,434.11,"9,595,100"
2026-07-09,446.73,447.69,436.39,436.96,436.96,"11,455,600"
2026-07-08,429.00,440.49,428.75,436.98,436.98,"11,411,200"
2026-07-07,438.02,439.80,428.11,432.57,432.57,"14,898,400"
2026-07-06,447.78,460.03,445.60,451.79,451.79,"12,788,500"
2026-07-02,450.54,461.47,429.50,434.16,434.16,"18,375,000"
2026-07-01,467.67,468.51,443.47,444.23,444.23,"18,534,800"
2026-06-30,455.61,479.00,453.00,477.57,477.57,"15,074,300"
2026-06-29,437.00,456.10,431.09,455.10,455.10,"14,881,400"
2026-06-26,425.00,436.13,419.19,432.35,432.35,"17,974,100"
2026-06-25,452.90,452.90,432.44,434.99,434.99,"14,769,500"
2026-06-24,433.98,443.86,432.58,440.83,440.83,"9,991,200"
2026-06-23,439.18,447.33,434.19,436.39,436.39,"20,364,500"
2026-06-22,476.09,476.79,465.17,467.67,467.67,"13,686,200"
2026-06-18,438.88,465.22,438.39,462.12,462.12,"25,817,100"
2026-06-17,434.75,442.50,431.64,432.15,432.15,"10,934,100"
2026-06-16,436.02,440.33,425.20,425.83,425.83,"10,943,500"
2026-06-15,438.68,442.58,431.93,441.40,441.40,"11,184,900"
2026-06-12,420.05,426.94,417.21,423.93,423.93,"10,362,500"
2026-06-11,413.26,422.25,408.86,421.07,421.07,"13,826,500"
2026-06-10,413.96,426.32,407.70,408.75,407.80,"13,139,700"
2026-06-09,430.88,438.16,405.51,427.92,426.92,"21,199,500"
2026-06-08,423.77,433.81,422.53,426.80,425.80,"11,245,400"
2026-06-05,429.77,433.90,412.79,415.17,414.20,"19,644,200"
2026-06-04,430.63,448.01,427.30,444.92,443.88,"10,974,100"
2026-06-03,449.99,450.16,434.53,436.69,435.67,"10,245,200"
2026-06-02,440.58,448.38,436.01,446.69,445.65,"10,147,900"
2026-06-01,424.88,449.39,422.50,435.63,434.61,"18,040,400"
2026-05-29,427.07,430.44,417.25,418.45,417.47,"11,232,300"
2026-05-28,422.22,427.60,414.71,424.86,423.87,"8,905,800"
2026-05-27,427.02,430.55,415.38,422.73,421.74,"14,695,600"
2026-05-26,413.12,416.49,410.07,412.32,411.36,"10,132,000"
2026-05-22,409.43,410.67,402.86,404.52,403.57,"7,111,900"
2026-05-21,399.51,411.46,399.51,407.15,406.20,"8,937,900"
2026-05-20,397.00,403.88,395.95,401.62,400.68,"10,254,300"
2026-05-19,389.51,398.88,385.06,392.61,391.69,"14,083,000"
2026-05-18,406.88,406.88,391.05,395.95,395.02,"12,117,200"
2026-05-15,406.50,409.87,398.83,404.35,403.41,"11,868,600"
2026-05-14,403.21,421.97,402.10,417.72,416.74,"18,577,100"
2026-05-13,398.27,404.68,391.47,399.80,398.87,"13,127,800"
2026-05-12,397.75,402.24,386.12,397.28,396.35,"18,121,800"
2026-05-11,406.74,407.73,398.19,404.54,403.59,"14,680,000"
2026-05-08,416.95,417.00,400.88,411.68,410.72,"18,531,200"
2026-05-07,418.09,420.00,408.11,414.15,413.18,"13,403,200"
2026-05-06,402.40,419.70,400.65,419.50,418.52,"17,736,400"
2026-05-05,404.60,406.13,392.60,394.41,393.49,"14,579,000"
2026-05-04,404.52,407.70,395.20,401.61,400.67,"9,978,500"
2026-05-01,393.44,403.99,392.13,397.67,396.74,"9,926,400"
2026-04-30,397.81,398.79,385.71,396.06,395.13,"12,788,100"
2026-04-29,392.91,395.85,388.18,393.83,392.91,"10,313,000"
2026-04-28,392.12,397.87,384.70,392.34,391.42,"14,715,800"
2026-04-27,413.75,414.50,400.40,404.98,404.03,"16,561,200"
2026-04-24,396.14,409.49,393.85,402.46,401.52,"21,603,600"
2026-04-23,384.25,388.76,375.81,382.66,381.77,"12,224,900"
2026-04-22,371.78,387.91,370.64,387.44,386.53,"16,317,200"
2026-04-21,368.08,370.75,365.11,368.08,367.22,"9,808,200"
2026-04-20,369.22,370.07,364.25,366.24,365.38,"11,638,300"
2026-04-17,373.20,375.58,365.14,370.50,369.63,"18,419,400"
2026-04-16,368.86,370.20,360.55,363.35,362.50,"26,405,800"
2026-04-15,381.41,381.98,372.21,375.10,374.22,"14,955,500"
2026-04-14,379.04,382.16,373.22,379.89,379.00,"12,859,500"
2026-04-13,370.26,371.46,366.05,369.57,368.71,"9,596,300"
2026-04-10,375.59,378.00,369.75,370.60,369.73,"13,168,200"
2026-04-09,363.30,368.17,360.72,365.49,364.64,"9,246,000"
2026-04-08,370.29,374.30,359.24,365.90,365.05,"16,356,900"
2026-04-07,339.44,345.53,335.65,345.32,344.51,"6,823,500"
2026-04-06,339.75,344.20,338.62,341.76,340.96,"5,884,800"
2026-04-02,326.84,342.07,326.80,339.04,338.25,"8,994,600"
2026-04-01,343.90,348.68,339.75,341.49,340.69,"15,011,600"
2026-03-31,322.31,338.41,321.14,337.95,337.16,"18,488,000"
2026-03-30,327.20,329.60,313.80,316.50,315.76,"15,740,000"
2026-03-27,324.83,329.56,322.31,326.74,325.98,"14,484,500"
2026-03-26,339.82,340.91,325.37,326.11,325.35,"14,560,200"
2026-03-25,346.00,350.45,343.50,347.75,346.94,"12,166,900"
2026-03-24,335.57,344.88,334.02,343.25,342.45,"9,725,000"
2026-03-23,331.10,343.41,331.10,338.45,337.66,"15,857,200"
2026-03-20,336.68,337.60,325.90,329.24,328.47,"17,424,200"
2026-03-19,329.22,339.90,325.19,338.79,338.00,"15,411,600"
2026-03-18,345.78,347.95,339.34,339.57,338.78,"12,632,600"
2026-03-17,340.60,346.76,338.40,345.98,345.17,"11,434,600"
2026-03-16,341.25,344.63,339.82,340.23,338.48,"11,123,500"
2026-03-13,343.92,344.52,336.22,338.31,336.57,"17,299,900"
2026-03-12,345.93,346.89,336.38,336.71,334.98,"17,549,400"
2026-03-11,353.93,357.35,350.36,354.56,352.74,"10,683,300"
2026-03-10,348.47,353.50,344.31,347.09,345.31,"12,985,600"
2026-03-09,335.60,349.40,331.92,348.70,346.91,"19,182,800"
2026-03-06,343.50,348.72,336.69,338.89,337.15,"13,803,000"
2026-03-05,354.90,359.47,343.80,353.86,352.04,"16,249,800"
2026-03-04,357.43,361.09,354.55,357.44,355.60,"12,131,100"
2026-03-03,349.55,355.98,344.14,353.13,351.32,"18,580,200"
2026-03-02,365.36,373.10,364.65,369.11,367.21,"12,571,600"
2026-02-27,370.14,376.68,368.62,374.58,372.65,"9,186,600"
2026-02-26,386.18,386.47,369.70,376.81,374.87,"14,535,700"
2026-02-25,390.21,390.21,384.83,387.73,385.74,"10,948,400"
2026-02-24,379.40,389.18,376.05,385.75,383.77,"13,269,500"
2026-02-23,367.01,373.43,366.46,370.04,368.14,"9,550,200"
2026-02-20,359.78,372.20,359.10,370.54,368.64,"9,009,200"
2026-02-19,359.72,362.80,357.44,360.39,358.54,"6,346,500"
2026-02-18,363.86,369.39,360.71,362.26,360.40,"7,310,500"
2026-02-17,361.87,366.20,356.24,364.20,362.33,"10,063,800"
2026-02-13,369.15,371.11,360.77,366.36,364.48,"10,468,200"
2026-02-12,379.00,380.00,322.10,368.10,366.21,"16,835,400"
2026-02-11,370.08,379.58,368.39,374.09,372.17,"18,651,300"
2026-02-10,364.33,364.76,356.39,361.91,360.05,"14,622,100"
2026-02-09,348.76,359.60,347.80,355.41,353.58,"14,594,900"
2026-02-06,337.50,349.72,336.65,348.85,347.06,"17,025,500"
2026-02-05,322.82,334.57,319.65,330.73,329.03,"14,812,000"
2026-02-04,335.60,338.80,319.07,325.74,324.07,"18,176,000"
2026-02-03,345.07,347.05,330.02,335.75,334.02,"12,540,000"
2026-02-02,330.76,344.20,329.10,341.36,339.61,"12,459,100"
2026-01-30,335.42,339.90,329.10,330.56,328.86,"12,028,100"
2026-01-29,339.80,343.74,328.20,339.55,337.80,"13,844,800"
2026-01-28,343.03,345.50,338.66,342.30,340.54,"12,140,100"
2026-01-27,336.50,341.25,334.56,338.34,336.60,"11,298,100"
2026-01-26,332.79,335.10,330.23,332.71,331.00,"8,646,400"
