monthEndDate,adjClose
2018-01-31,37.20
2018-02-28,35.59
2018-03-29,35.92
2018-04-30,31.56
2018-05-31,31.77
2018-06-29,31.11
2018-07-31,35.07
2018-08-31,37.10
2018-09-28,37.58
2018-10-31,32.42
2018-11-30,31.99
2018-12-31,31.41
2019-01-31,32.01
2019-02-28,33.23
2019-03-29,34.85
2019-04-30,37.29
2019-05-31,32.63
2019-06-28,34.42
2019-07-31,37.46
2019-08-30,37.46
2019-09-30,41.13
2019-10-31,45.69
2019-11-29,46.98
2019-12-31,51.77
2020-01-31,48.07
2020-02-28,47.98
2020-03-31,42.99
2020-04-30,47.79
2020-05-29,45.28
2020-06-30,51.45
2020-07-31,71.50
2020-08-31,71.82
2020-09-30,73.85
2020-10-30,76.40
2020-11-30,88.38
2020-12-31,99.75
2021-01-29,111.17
2021-02-26,115.21
2021-03-31,108.61
2021-04-30,107.20
2021-05-28,107.77
2021-06-30,110.76
2021-07-30,107.52
2021-08-31,109.70
2021-09-30,103.34
2021-10-29,105.24
2021-11-30,108.43
2021-12-31,111.82
2022-01-31,113.97
2022-02-28,99.46
2022-03-31,97.37
2022-04-29,86.79
2022-05-31,89.00
2022-06-30,76.75
2022-07-29,83.07
2022-08-31,78.25
2022-09-30,64.73
2022-10-31,58.11
2022-11-30,78.34
2022-12-30,70.73
2023-01-31,88.04
2023-02-28,82.67
2023-03-31,88.78
2023-04-28,80.46
2023-05-31,94.10
2023-06-30,96.72
2023-07-31,95.03
2023-08-31,89.68
2023-09-29,83.72
2023-10-31,83.15
2023-11-30,93.75
2023-12-29,100.66
2024-01-31,109.34
2024-02-29,124.54
2024-03-28,132.22
2024-04-30,133.48
2024-05-31,146.79
2024-06-28,169.45
2024-07-31,161.64
2024-08-30,167.40
2024-09-30,169.94
2024-10-31,186.45
2024-11-29,180.69
2024-12-31,193.86
2025-01-31,205.48
2025-02-28,177.21
2025-03-31,163.59
2025-04-30,164.27
2025-05-30,190.51
2025-06-30,224.01
2025-07-31,238.98
2025-08-29,228.34
2025-09-30,277.11
2025-10-31,298.08
2025-11-28,289.23
2025-12-31,302.33
2026-01-30,328.86
2026-02-27,372.65
2026-03-31,337.16
2026-04-30,395.13
2026-05-29,417.47
2026-06-30,477.57
2026-07-21,424.61
