monthEndDate,adjClose
2018-01-31,17.98
2018-02-28,17.33
2018-03-29,17.70
2018-04-30,17.17
2018-05-31,17.51
2018-06-29,16.57
2018-07-31,16.59
2018-08-31,15.78
2018-09-28,14.88
2018-10-31,13.44
2018-11-30,13.67
2018-12-31,13.19
2019-01-31,14.21
2019-02-28,14.07
2019-03-29,14.47
2019-04-30,14.72
2019-05-31,13.94
2019-06-28,15.16
2019-07-31,15.24
2019-08-30,15.05
2019-09-30,15.09
2019-10-31,16.04
2019-11-29,15.89
2019-12-31,16.64
2020-01-31,15.89
2020-02-28,15.22
2020-03-31,12.66
2020-04-30,13.85
2020-05-29,14.65
2020-06-30,15.67
2020-07-31,17.03
2020-08-31,17.27
2020-09-30,16.92
2020-10-30,17.16
2020-11-30,18.38
2020-12-31,20.17
2021-01-29,20.67
2021-02-26,21.70
2021-03-31,21.18
2021-04-30,22.56
2021-05-28,22.74
2021-06-30,24.16
2021-07-30,22.76
2021-08-31,22.63
2021-09-30,21.60
2021-10-29,21.99
2021-11-30,22.17
2021-12-31,23.06
2022-01-31,21.44
2022-02-28,21.99
2022-03-31,20.88
2022-04-29,19.49
2022-05-31,19.71
2022-06-30,17.01
2022-07-29,16.98
2022-08-31,17.00
2022-09-30,15.09
2022-10-31,14.58
2022-11-30,16.83
2022-12-30,16.43
2023-01-31,17.44
2023-02-28,16.71
2023-03-31,17.17
2023-04-28,16.94
2023-05-31,16.98
2023-06-30,17.67
2023-07-31,18.75
2023-08-31,18.06
2023-09-29,17.54
2023-10-31,16.47
2023-11-30,17.97
2023-12-29,18.67
2024-01-31,18.60
2024-02-29,19.20
2024-03-28,19.78
2024-04-30,19.91
2024-05-31,20.36
2024-06-28,20.50
2024-07-31,19.82
2024-08-30,19.74
2024-09-30,19.94
2024-10-31,19.47
2024-11-29,19.03
2024-12-31,18.62
2025-01-31,17.94
2025-02-28,17.99
2025-03-31,17.62
2025-04-30,17.67
2025-05-30,18.71
2025-06-30,20.51
2025-07-31,20.77
2025-08-29,23.05
2025-09-30,23.98
2025-10-31,23.92
2025-11-28,23.73
2025-12-31,23.46
2026-01-30,25.58
2026-02-27,28.14
2026-03-31,25.86
2026-04-30,30.71
2026-05-29,32.44
2026-06-30,33.40
2026-07-23,31.26
