date,open,high,low,close,adjClose,volume
2026-07-23,694.67,698.66,687.79,691.96,691.96,"43,695,900"
2026-07-22,703.62,709.65,703.62,705.35,705.35,"23,692,200"
2026-07-21,706.57,710.05,702.80,708.97,708.97,"33,728,300"
2026-07-20,702.16,705.80,695.51,696.06,696.06,"29,687,600"
2026-07-17,691.65,702.30,686.76,695.33,695.33,"54,109,300"
2026-07-16,712.01,713.60,702.61,705.94,705.94,"39,402,000"
2026-07-15,723.85,724.36,710.23,717.74,717.74,"32,627,600"
2026-07-14,720.22,722.29,714.34,719.69,719.69,"29,448,100"
2026-07-13,717.72,718.74,710.08,711.74,711.74,"36,552,400"
2026-07-10,720.70,726.39,717.00,725.51,725.51,"26,415,900"
2026-07-09,718.33,724.23,715.13,723.28,723.28,"33,654,700"
2026-07-08,704.95,712.26,700.91,711.44,711.44,"35,603,200"
2026-07-07,714.17,716.35,704.90,709.43,709.43,"42,483,100"
2026-07-06,719.93,726.08,718.45,722.82,722.82,"30,220,400"
2026-07-02,725.58,730.83,707.56,712.60,712.60,"50,959,800"
2026-07-01,729.19,731.92,724.60,725.17,725.17,"40,803,800"
2026-06-30,724.18,737.62,723.91,736.40,736.40,"42,121,800"
2026-06-29,713.99,724.58,705.17,724.08,724.08,"44,939,100"
2026-06-26,707.13,715.56,702.81,706.52,706.52,"47,081,800"
2026-06-25,725.90,726.83,705.30,716.38,716.38,"49,668,000"
2026-06-24,715.37,719.93,704.45,710.62,710.62,"52,480,400"
2026-06-23,715.74,723.61,712.11,713.65,713.65,"53,354,200"
2026-06-22,742.02,745.45,734.39,737.95,737.95,"43,518,600"
2026-06-18,737.20,741.82,732.51,740.62,739.81,"50,154,600"
2026-06-17,735.19,735.68,720.85,722.51,721.72,"51,669,300"
2026-06-16,742.25,744.22,729.64,729.86,729.06,"45,348,700"
2026-06-15,738.10,744.76,737.38,744.00,743.18,"46,710,200"
2026-06-12,717.61,724.01,711.28,721.34,720.55,"51,168,400"
2026-06-11,699.29,718.37,695.00,717.12,716.33,"71,798,900"
2026-06-10,701.66,711.28,692.93,693.69,692.93,"65,334,300"
2026-06-09,722.98,725.66,686.37,707.83,707.05,"91,932,200"
2026-06-08,717.81,723.03,713.07,716.07,715.28,"47,401,500"
2026-06-05,730.06,731.69,704.32,705.06,704.29,"99,606,600"
2026-06-04,735.48,743.50,732.62,740.61,739.80,"40,782,600"
2026-06-03,747.31,748.65,741.01,744.21,743.39,"40,270,200"
2026-06-02,742.40,746.44,739.23,746.16,745.34,"30,085,200"
2026-06-01,737.04,745.65,735.99,742.74,741.92,"33,890,600"
2026-05-29,737.84,741.63,735.25,738.31,737.50,"37,541,700"
2026-05-28,729.73,736.60,726.41,735.60,734.79,"32,840,000"
2026-05-27,732.96,733.32,725.44,729.45,728.65,"35,148,700"
2026-05-26,725.96,731.17,724.16,730.28,729.48,"34,254,700"
2026-05-22,718.07,722.12,715.95,717.54,716.75,"33,118,600"
2026-05-21,708.99,717.12,706.77,714.51,713.73,"36,415,400"
2026-05-20,705.29,713.15,703.79,713.15,712.37,"36,779,200"
2026-05-19,699.81,706.49,695.25,701.53,700.76,"46,827,500"
2026-05-18,711.54,712.07,698.85,705.88,705.11,"49,834,500"
2026-05-15,710.14,715.13,705.55,708.93,708.15,"51,792,700"
2026-05-14,714.62,722.03,714.22,719.79,719.00,"33,327,500"
2026-05-13,709.96,716.65,704.83,714.71,713.93,"40,012,500"
2026-05-12,708.22,710.18,696.64,707.24,706.46,"45,873,000"
2026-05-11,710.36,714.59,708.91,713.29,712.51,"36,019,100"
2026-05-08,699.92,711.23,699.50,711.23,710.45,"44,320,400"
2026-05-07,696.58,701.24,691.77,694.94,694.18,"43,779,100"
2026-05-06,687.78,695.93,686.48,695.77,695.01,"38,778,500"
2026-05-05,677.96,682.77,677.51,681.61,680.86,"37,101,100"
2026-05-04,674.66,676.73,668.90,672.88,672.14,"34,542,000"
2026-05-01,669.16,675.97,668.80,674.15,673.41,"39,172,600"
2026-04-30,665.35,668.90,657.56,667.74,667.01,"40,622,200"
2026-04-29,658.63,661.72,656.59,661.57,660.84,"31,724,900"
2026-04-28,657.41,659.64,653.81,657.55,656.83,"34,147,900"
2026-04-27,663.40,664.43,660.69,664.23,663.50,"32,717,000"
2026-04-24,658.51,664.51,656.53,663.88,663.15,"45,563,100"
2026-04-23,653.55,656.92,645.52,651.42,650.70,"40,099,800"
2026-04-22,650.15,655.33,648.52,655.11,654.39,"37,368,400"
2026-04-21,648.41,650.20,642.21,644.33,643.62,"39,580,500"
2026-04-20,648.04,648.76,642.52,646.79,646.08,"37,138,500"
2026-04-17,645.59,650.00,644.07,648.85,648.14,"53,488,900"
2026-04-16,639.21,642.18,635.26,640.47,639.77,"42,320,600"
2026-04-15,629.08,637.83,628.20,637.40,636.70,"50,102,400"
2026-04-14,620.22,628.60,620.10,628.60,627.91,"49,921,100"
2026-04-13,609.48,626.74,608.11,617.39,616.71,"32,972,100"
2026-04-10,611.84,613.67,609.58,611.07,610.40,"34,038,500"
2026-04-09,605.93,610.50,603.03,610.19,609.52,"37,837,500"
2026-04-08,608.71,609.90,602.12,606.09,605.42,"63,086,000"
2026-04-07,585.64,588.98,578.40,588.59,587.94,"49,948,200"
