monthEndDate,adjClose
2018-01-31,160.39
2018-02-28,158.31
2018-03-29,151.86
2018-04-30,152.62
2018-05-31,161.28
2018-06-29,163.13
2018-07-31,167.69
2018-08-31,177.38
2018-09-28,176.88
2018-10-31,161.68
2018-11-30,161.25
2018-12-31,147.29
2019-01-31,160.56
2019-02-28,165.36
2019-03-29,171.85
2019-04-30,181.30
2019-05-31,166.39
2019-06-28,179.02
2019-07-31,183.20
2019-08-30,179.72
2019-09-30,181.37
2019-10-31,189.31
2019-11-29,197.01
2019-12-31,204.67
2020-01-31,210.89
2020-02-28,198.12
2020-03-31,183.68
2020-04-30,211.19
2020-05-29,225.13
2020-06-30,239.28
2020-07-31,256.86
2020-08-31,284.97
2020-09-30,268.50
2020-10-30,260.33
2020-11-30,289.55
2020-12-31,303.74
2021-01-29,304.54
2021-02-26,304.13
2021-03-31,309.35
2021-04-30,327.64
2021-05-28,323.70
2021-06-30,343.97
2021-07-30,353.81
2021-08-31,368.74
2021-09-30,347.78
2021-10-29,375.13
2021-11-30,382.62
2021-12-31,387.03
2022-01-31,353.18
2022-02-28,337.37
2022-03-31,353.12
2022-04-29,305.11
2022-05-31,300.27
2022-06-30,273.52
2022-07-29,307.85
2022-08-31,292.05
2022-09-30,261.28
2022-10-31,271.73
2022-11-30,286.80
2022-12-30,260.95
2023-01-31,288.72
2023-02-28,287.68
2023-03-31,314.99
2023-04-28,316.59
2023-05-31,341.55
2023-06-30,363.08
2023-07-31,377.10
2023-08-31,371.50
2023-09-29,352.63
2023-10-31,345.35
2023-11-30,382.71
2023-12-29,404.09
2024-01-31,411.44
2024-02-29,433.18
2024-03-28,438.70
2024-04-30,419.52
2024-05-31,445.32
2024-06-28,474.14
2024-07-31,466.18
2024-08-30,471.33
2024-09-30,483.68
2024-10-31,479.50
2024-11-29,505.16
2024-12-31,507.45
2025-01-31,518.43
2025-02-28,504.41
2025-03-31,466.15
2025-04-30,472.66
2025-05-30,516.04
2025-06-30,549.00
2025-07-31,562.30
2025-08-29,567.67
2025-09-30,598.18
2025-10-31,626.78
2025-11-28,617.00
2025-12-31,612.86
2026-01-30,620.41
2026-02-27,605.86
2026-03-31,576.55
2026-04-30,667.01
2026-05-29,737.50
2026-06-30,736.40
2026-07-23,691.96
